Time,Pos_X,Pos_Y,Vel_X,Vel_Y,Angle
1.53333,7.34723,8.34246,4.79167,-15.042,0.479167
1.55,7.42709,8.08903,4.79167,-15.2055,0.484375
1.56667,7.50695,7.83288,4.79167,-15.369,0.489584
1.58333,7.58681,7.57401,4.79167,-15.5325,0.494792
1.6,7.66667,7.31241,4.79167,-15.696,0.5
1.61667,7.74653,7.04808,4.79167,-15.8595,0.505209
1.63333,7.82639,6.78103,4.79167,-16.023,0.510417
1.65,7.90625,6.51126,4.79167,-16.1865,0.515625
1.66667,7.98612,6.23876,4.79167,-16.35,0.520834
1.68333,8.06598,5.96353,4.79167,-16.5135,0.526042
1.7,8.14584,5.68558,4.79167,-16.677,0.53125
1.71667,8.2257,5.40491,4.79167,-16.8405,0.536459
1.73333,8.30556,5.12151,4.79167,-17.004,0.541667
1.75,8.38542,4.83538,4.79167,-17.1675,0.546875
1.76667,8.46528,4.54653,4.79167,-17.331,0.552083
1.78333,8.54514,4.25496,4.79167,-17.4945,0.557292
1.8,8.625,3.96066,4.79167,-17.658,0.5625
1.81667,8.70486,3.66363,4.79167,-17.8215,0.567708
1.83333,8.78472,3.36388,4.79167,-17.985,0.572917
1.85,8.86458,3.06141,4.79167,-18.1485,0.578125
1.86667,8.94444,2.75621,4.79167,-18.312,0.583333
1.88333,9.0243,2.44828,4.79167,-18.4755,0.588542
1.9,9.10417,2.13763,4.79167,-18.639,0.59375
1.91667,9.18403,1.82426,4.79167,-18.8025,0.598958
1.93333,9.26389,1.50816,4.79167,-18.966,0.604167
1.95,9.34375,1.18934,4.79167,-19.1295,0.609375
1.96667,9.42361,0.867785,4.79167,-19.293,0.614583
1.98333,9.50347,0.543511,4.79167,-19.4565,0.619792
2,9.58333,0.216511,4.79167,-19.62,0.625
