Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-1,0,0,0,0
0,1,Box,0,0.497278,0,0,-0.163333,0
0,2,Box,0,1.49728,0,0,-0.163333,0
1,0,Box,0,-1,0,0,0,0
1,1,Box,2.71769e-06,0.491847,-0.000807199,0.000163062,-0.325851,-0.0484319
1,2,Box,0,1.49183,0,0,-0.326667,0
2,0,Box,0,-1,0,0,0,0
2,1,Box,-0.00273346,0.48723,-0.0100487,-0.16417,-0.277002,-0.554489
2,2,Box,0.00101361,1.48876,-0.00616236,0.0608166,-0.184599,-0.369742
3,0,Box,0,-1,0,0,0,0
3,1,Box,-0.00643393,0.481187,-0.0222594,-0.222029,-0.362616,-0.732646
3,2,Box,0.00238541,1.48469,-0.0144054,0.0823078,-0.243816,-0.494585
4,0,Box,0,-1,0,0,0,0
4,1,Box,-0.0111388,0.47967,-0.0374156,-0.282289,-0.444444,-0.909371
4,2,Box,0.0041368,1.47967,-0.0247558,0.105084,-0.301229,-0.621023
5,0,Box,0,-1,0,0,0,0
5,1,Box,-0.0168969,0.482191,-0.0554828,-0.345486,-0.521351,-1.08403
5,2,Box,0.00629403,1.47373,-0.0372527,0.129434,-0.356759,-0.749813
6,0,Box,0,-1,0,0,0,0
6,1,Box,-0.0237654,0.487183,-0.0764123,-0.41211,-0.592094,-1.25577
6,2,Box,0.00888781,1.46688,-0.0519455,0.155627,-0.410523,-0.881564
7,0,Box,0,-1,0,0,0,0
7,1,Box,-0.0319962,0.49038,-0.100137,-0.482628,-0.655335,-1.4235
7,2,Box,0.01214,1.46277,-0.0688893,0.183911,-0.462782,-1.01663
8,0,Box,0,-1,0,0,0,0
8,1,Box,-0.0417493,0.494152,-0.126566,-0.557611,-0.709611,-1.5857
8,2,Box,0.0161761,1.46087,-0.0881311,0.214589,-0.513645,-1.15451
9,0,Box,0,-1,0,0,0,0
9,1,Box,-0.053185,0.499374,-0.155574,-0.637378,-0.753447,-1.74052
9,2,Box,0.0211191,1.46067,-0.109707,0.247817,-0.563782,-1.29455
10,0,Box,0,-1,0,0,0,0
10,1,Box,-0.0664905,0.505966,-0.187005,-0.72197,-0.785439,-1.88586
10,2,Box,0.0271182,1.46199,-0.133637,0.283584,-0.614335,-1.43584
11,0,Box,0,-1,0,0,0,0
11,1,Box,-0.0818473,0.513851,-0.220663,-0.811103,-0.804381,-2.01942
11,2,Box,0.0343178,1.46455,-0.159922,0.321673,-0.66684,-1.57707
12,0,Box,0,-1,0,0,0,0
