Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,-5,0,0,0,0
0,1,Box,0,-0.002725,0.523,0,-0.1635,0
1,0,Box,0,-5,0,0,0,0
1,1,Box,0,-0.008175,0.523,0,-0.327,0
2,0,Box,0,-5,0,0,0,0
2,1,Box,0,-0.01635,0.523,0,-0.4905,0
3,0,Box,0,-5,0,0,0,0
3,1,Box,0,-0.02725,0.523,0,-0.654,0
4,0,Box,0,-5,0,0,0,0
4,1,Box,0,-0.040875,0.523,0,-0.8175,0
5,0,Box,0,-5,0,0,0,0
5,1,Box,0,-0.057225,0.523,0,-0.981,0
6,0,Box,0,-5,0,0,0,0
6,1,Box,0,-0.0763,0.523,0,-1.1445,0
7,0,Box,0,-5,0,0,0,0
7,1,Box,0,-0.0981,0.523,0,-1.308,0
8,0,Box,0,-5,0,0,0,0
8,1,Box,0,-0.122625,0.523,0,-1.4715,0
9,0,Box,0,-5,0,0,0,0
9,1,Box,0,-0.149875,0.523,0,-1.635,0
10,0,Box,0,-5,0,0,0,0
10,1,Box,0,-0.17985,0.523,0,-1.7985,0
11,0,Box,0,-5,0,0,0,0
11,1,Box,0,-0.21255,0.523,0,-1.962,0
12,0,Box,0,-5,0,0,0,0
12,1,Box,0,-0.247975,0.523,0,-2.1255,0
13,0,Box,0,-5,0,0,0,0
13,1,Box,0,-0.286125,0.523,0,-2.289,0
14,0,Box,0,-5,0,0,0,0
14,1,Box,0,-0.327,0.523,0,-2.4525,0
15,0,Box,0,-5,0,0,0,0
15,1,Box,0,-0.3706,0.523,0,-2.616,0
16,0,Box,0,-5,0,0,0,0
16,1,Box,0,-0.416925,0.523,0,-2.7795,0
17,0,Box,0,-5,0,0,0,0
17,1,Box,0,-0.465975,0.523,0,-2.943,0
18,0,Box,0,-5,0,0,0,0
18,1,Box,0,-0.51775,0.523,0,-3.1065,0
19,0,Box,0,-5,0,0,0,0
19,1,Box,0,-0.57225,0.523,0,-3.27,0
20,0,Box,0,-5,0,0,0,0
20,1,Box,0,-0.629475,0.523,0,-3.4335,0
21,0,Box,0,-5,0,0,0,0
21,1,Box,0,-0.689425,0.523,0,-3.597,0
22,0,Box,0,-5,0,0,0,0
22,1,Box,0,-0.7521,0.523,0,-3.7605,0
23,0,Box,0,-5,0,0,0,0
23,1,Box,0,-0.8175,0.523,0,-3.924,0
24,0,Box,0,-5,0,0,0,0
24,1,Box,0,-0.885625,0.523,0,-4.0875,0
25,0,Box,0,-5,0,0,0,0
25,1,Box,0,-0.956475,0.523,0,-4.251,0
26,0,Box,0,-5,0,0,0,0
26,1,Box,0,-1.03005,0.523,0,-4.4145,0
27,0,Box,0,-5,0,0,0,0
27,1,Box,0,-1.10635,0.523,0,-4.578,0
28,0,Box,0,-5,0,0,0,0
28,1,Box,0,-1.18538,0.523,0,-4.7415,0
29,0,Box,0,-5,0,0,0,0
29,1,Box,0,-1.26713,0.523,0,-4.905,0
30,0,Box,0,-5,0,0,0,0
30,1,Box,0,-1.3516,0.523,0,-5.0685,0
31,0,Box,0,-5,0,0,0,0
31,1,Box,0,-1.4388,0.523,0,-5.232,0
32,0,Box,0,-5,0,0,0,0
32,1,Box,0,-1.52873,0.523,0,-5.3955,0
33,0,Box,0,-5,0,0,0,0
33,1,Box,0,-1.62138,0.523,0,-5.559,0
34,0,Box,0,-5,0,0,0,0
34,1,Box,0,-1.71675,0.523,0,-5.7225,0
35,0,Box,0,-5,0,0,0,0
35,1,Box,0,-1.81485,0.523,0,-5.886,0
36,0,Box,0,-5,0,0,0,0
36,1,Box,0,-1.91568,0.523,0,-6.0495,0
37,0,Box,0,-5,0,0,0,0
37,1,Box,0,-2.01923,0.523,0,-6.213,0
38,0,Box,0,-5,0,0,0,0
38,1,Box,0,-2.1255,0.523,0,-6.3765,0
39,0,Box,0,-5,0,0,0,0
39,1,Box,0,-2.2345,0.523,0,-6.54,0
40,0,Box,0,-5,0,0,0,0
40,1,Box,0,-2.34623,0.523,0,-6.7035,0
41,0,Box,0,-5,0,0,0,0
41,1,Box,0,-2.46068,0.523,0,-6.867,0
42,0,Box,0,-5,0,0,0,0
42,1,Box,0,-2.57785,0.523,0,-7.0305,0
43,0,Box,0,-5,0,0,0,0
43,1,Box,0,-2.69775,0.523,0,-7.194,0
44,0,Box,0,-5,0,0,0,0
44,1,Box,0,-2.82038,0.523,0,-7.3575,0
45,0,Box,0,-5,0,0,0,0
45,1,Box,0,-2.94573,0.523,0,-7.521,0
46,0,Box,0,-5,0,0,0,0
46,1,Box,0,-3.0738,0.523,0,-7.6845,0
47,0,Box,0,-5,0,0,0,0
47,1,Box,0,-3.2046,0.523,0,-7.848,0
48,0,Box,0,-5,0,0,0,0
48,1,Box,0,-3.33812,0.523,0,-7.84023,-1.26471
49,0,Box,0,-5,0,0,0,0
49,1,Box,0,-3.47152,0.501921,0,-8.00373,-1.26471
50,0,Box,0,-5,0,0,0,0
50,1,Box,0,-3.60764,0.480843,0,-8.16723,-1.26471
51,0,Box,0,-5,0,0,0,0
51,1,Box,0,-3.74649,0.459764,0,-8.33073,-1.26471
52,0,Box,0,-5,0,0,0,0
52,1,Box,0,-3.88806,0.438686,0,-8.49423,-1.26471
53,0,Box,0,-5,0,0,0,0
53,1,Box,0,-4.03235,0.417607,0,-8.65773,-1.26471
54,0,Box,0,-5,0,0,0,0
54,1,Box,0,-4.17937,0.396529,0,-8.82123,-1.26471
55,0,Box,0,-5,0,0,0,0
55,1,Box,0,-4.32912,0.37545,0,-8.98473,-1.26471
56,0,Box,0,-5,0,0,0,0
56,1,Box,0,-4.48159,0.354372,0,-9.14823,-1.26471
57,0,Box,0,-5,0,0,0,0
57,1,Box,0,-4.63679,0.333293,0,-9.31173,-1.26471
58,0,Box,0,-5,0,0,0,0
58,1,Box,0,-4.79471,0.312214,0,-9.47523,-1.26471
59,0,Box,0,-5,0,0,0,0
59,1,Box,0,-4.95535,0.291136,0,-9.63873,-1.26471
60,0,Box,0,-5,0,0,0,0
60,1,Box,0,-5.11872,0.270057,0,-9.80223,-1.26471
61,0,Box,0,-5,0,0,0,0
61,1,Box,0,-5.28482,0.248979,0,-9.96573,-1.26471
62,0,Box,0,-5,0,0,0,0
62,1,Box,0,-5.45364,0.2279,0,-10.1292,-1.26471
63,0,Box,0,-5,0,0,0,0
63,1,Box,0,-5.62518,0.206822,0,-10.2927,-1.26471
64,0,Box,0,-5,0,0,0,0
64,1,Box,0,-5.79945,0.185743,0,-10.5031,-0.918853
65,0,Box,0,-5,0,0,0,0
65,1,Box,0,-5.97723,0.170429,0,-10.6666,-0.918853
66,0,Box,0,-5,0,0,0,0
66,1,Box,0,-6.15773,0.155115,0,-10.8301,-0.918853
67,0,Box,0,-5,0,0,0,0
67,1,Box,0,-6.34096,0.1398,0,-10.9936,-0.918853
68,0,Box,0,-5,0,0,0,0
68,1,Box,0,-6.52691,0.124486,0,-11.1571,-0.918853
69,0,Box,0,-5,0,0,0,0
69,1,Box,0,-6.71558,0.109172,0,-11.3206,-0.918853
70,0,Box,0,-5,0,0,0,0
70,1,Box,0,-6.90699,0.0938578,0,-11.4841,-0.918853
71,0,Box,0,-5,0,0,0,0
71,1,Box,0,-7.10111,0.0785436,0,-11.6476,-0.918853
72,0,Box,0,-5,0,0,0,0
72,1,Box,0,-7.29796,0.0632294,0,-11.8111,-0.918853
73,0,Box,0,-5,0,0,0,0
73,1,Box,0,-7.49754,0.0479152,0,-11.9746,-0.918853
74,0,Box,0,-5,0,0,0,0
74,1,Box,0,-7.69984,0.032601,0,-12.1381,-0.918853
75,0,Box,0,-5,0,0,0,0
75,1,Box,0,-7.90487,0.0172867,0,-12.3016,-0.918853
76,0,Box,0,-5,0,0,0,0
76,1,Box,0,-8.11262,0.00197253,0,-12.4651,-0.918853
77,0,Box,0,-5,0,0,0,0
77,1,Box,0,-8.32309,-0.0133417,0,-12.6286,-0.918853
78,0,Box,0,-5,0,0,0,0
78,1,Box,0,-8.53629,-0.0286559,0,-12.7921,-0.918853
79,0,Box,0,-5,0,0,0,0
79,1,Box,0,-8.75222,-0.0439701,0,-12.9556,-0.918853
80,0,Box,0,-5,0,0,0,0
80,1,Box,0,-8.97087,-0.0592843,0,-13.1191,-0.918853
81,0,Box,0,-5,0,0,0,0
81,1,Box,0,-9.19225,-0.0745985,0,-13.2826,-0.918853
82,0,Box,0,-5,0,0,0,0
82,1,Box,0,-9.41635,-0.0899127,0,-13.4461,-0.918853
83,0,Box,0,-5,0,0,0,0
83,1,Box,0,-9.64318,-0.105227,0,-13.6096,-0.918853
84,0,Box,0,-5,0,0,0,0
84,1,Box,0,-9.87273,-0.120541,0,-13.7731,-0.918853
85,0,Box,0,-5,0,0,0,0
85,1,Box,0,-10.105,-0.135855,0,-13.9366,-0.918853
86,0,Box,0,-5,0,0,0,0
86,1,Box,0,-10.34,-0.15117,0,-14.1001,-0.918853
87,0,Box,0,-5,0,0,0,0
87,1,Box,0,-10.5777,-0.166484,0,-14.2636,-0.918853
88,0,Box,0,-5,0,0,0,0
88,1,Box,0,-10.8182,-0.181798,0,-14.4271,-0.918853
89,0,Box,0,-5,0,0,0,0
89,1,Box,0,-11.0614,-0.197112,0,-14.5906,-0.918853
90,0,Box,0,-5,0,0,0,0
