Frame,BodyID,Shape,PosX,PosY,Angle,VelX,VelY,AngVel
0,0,Box,0,0,0,0,0,0
0,1,Box,-5,9.99728,0,0,-0.163333,0
0,2,Box,-5,1.49728,0,0,-0.163333,0
0,3,Box,5,9.99728,0,0,-0.163333,0
1,0,Box,0,0,0,0,0,0
1,1,Box,-5,9.99183,0,0,-0.326667,0
1,2,Box,-5,1.49183,0,0,-0.326667,0
1,3,Box,5,9.99183,0,0,-0.326667,0
2,0,Box,0,0,0,0,0,0
2,1,Box,-5,9.98367,0,0,-0.49,0
2,2,Box,-5,1.48367,0,0,-0.49,0
2,3,Box,5,9.98367,0,0,-0.49,0
3,0,Box,0,0,0,0,0,0
3,1,Box,-5,9.97278,0,0,-0.653333,0
3,2,Box,-5,1.47278,0,0,-0.653333,0
3,3,Box,5,9.97278,0,0,-0.653333,0
4,0,Box,0,0,0,0,0,0
4,1,Box,-5,9.95917,0,0,-0.816667,0
4,2,Box,-5,1.45917,0,0,-0.816667,0
4,3,Box,5,9.95917,0,0,-0.816667,0
5,0,Box,0,0,0,0,0,0
5,1,Box,-5,9.94283,0,0,-0.98,0
5,2,Box,-5,1.44283,0,0,-0.98,0
5,3,Box,5,9.94283,0,0,-0.98,0
6,0,Box,0,0,0,0,0,0
6,1,Box,-5,9.92378,0,0,-1.14333,0
6,2,Box,-5,1.42378,0,0,-1.14333,0
6,3,Box,5,9.92378,0,0,-1.14333,0
7,0,Box,0,0,0,0,0,0
7,1,Box,-5,9.902,0,0,-1.30667,0
7,2,Box,-5,1.402,0,0,-1.30667,0
7,3,Box,5,9.902,0,0,-1.30667,0
8,0,Box,0,0,0,0,0,0
8,1,Box,-5,9.8775,0,0,-1.47,0
8,2,Box,-5,1.3775,0,0,-1.47,0
8,3,Box,5,9.8775,0,0,-1.47,0
9,0,Box,0,0,0,0,0,0
9,1,Box,-5,9.85028,0,0,-1.63333,0
9,2,Box,-5,1.35028,0,0,-1.63333,0
9,3,Box,5,9.85028,0,0,-1.63333,0
10,0,Box,0,0,0,0,0,0
10,1,Box,-5,9.82033,0,0,-1.79667,0
10,2,Box,-5,1.32033,0,0,-1.79667,0
10,3,Box,5,9.82033,0,0,-1.79667,0
11,0,Box,0,0,0,0,0,0
11,1,Box,-5,9.78767,0,0,-1.96,0
11,2,Box,-5,1.28767,0,0,-1.96,0
11,3,Box,5,9.78767,0,0,-1.96,0
12,0,Box,0,0,0,0,0,0
12,1,Box,-5,9.75228,0,0,-2.12333,0
12,2,Box,-5,1.25228,0,0,-2.12333,0
12,3,Box,5,9.75228,0,0,-2.12333,0
13,0,Box,0,0,0,0,0,0
13,1,Box,-5,9.71417,0,0,-2.28667,0
13,2,Box,-5,1.21417,0,0,-2.28667,0
13,3,Box,5,9.71417,0,0,-2.28667,0
14,0,Box,0,0,0,0,0,0
14,1,Box,-5,9.67333,0,0,-2.45,0
14,2,Box,-5,1.17333,0,0,-2.45,0
14,3,Box,5,9.67333,0,0,-2.45,0
15,0,Box,0,0,0,0,0,0
15,1,Box,-5,9.62978,0,0,-2.61333,0
15,2,Box,-5,1.12978,0,0,-2.61333,0
15,3,Box,5,9.62978,0,0,-2.61333,0
16,0,Box,0,0,0,0,0,0
16,1,Box,-5,9.5835,0,0,-2.77667,0
16,2,Box,-5,1.0835,0,0,-2.77667,0
